ENSEMBL_Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000108342,1665.353464,-4.349906008,0.213897292,-20.33642392,6.12E-92,1.16E-87
ENSG00000085265,1108.815366,4.912196456,0.267535404,18.36092117,2.70E-75,2.56E-71
ENSG00000111344,301.1136615,2.582196767,0.172514712,14.96798006,1.19E-50,7.52E-47
ENSG00000168389,3126.270753,-1.905618682,0.130354552,-14.61873523,2.13E-48,1.01E-44
ENSG00000073756,16736.8705,-4.438135378,0.325485139,-13.63544706,2.46E-42,9.35E-39
ENSG00000197046,479.9081815,-3.640253169,0.267456607,-13.61063093,3.46E-42,1.09E-38
ENSG00000136688,1310.81209,-4.074212701,0.306631214,-13.28701226,2.75E-40,7.46E-37
ENSG00000125538,105086.816,-3.389507579,0.25943859,-13.06477796,5.23E-39,1.24E-35
ENSG00000050730,2317.94576,-2.689561891,0.217526148,-12.36431534,4.08E-35,8.59E-32
ENSG00000173918,1078.196458,-3.024548816,0.250066356,-12.09498494,1.12E-33,2.13E-30
ENSG00000101187,1362.166776,-2.539647145,0.214414652,-11.8445597,2.30E-32,3.96E-29
ENSG00000124102,90170.54298,-2.093857746,0.177727645,-11.78127213,4.88E-32,7.71E-29
ENSG00000105509,191.0543791,-2.575027961,0.220908673,-11.65652723,2.13E-31,3.10E-28
ENSG00000181790,580.2712726,-1.537519193,0.134073383,-11.46774373,1.92E-30,2.60E-27
ENSG00000115008,10834.94782,-2.900428224,0.254613414,-11.39149812,4.61E-30,5.83E-27
ENSG00000188211,2157.744411,-2.292435212,0.20259611,-11.31529729,1.10E-29,1.31E-26
ENSG00000164236,2145.689186,-1.62310869,0.145000114,-11.19384427,4.37E-29,4.88E-26
ENSG00000169429,307075.781,-2.255961568,0.202822885,-11.12281569,9.72E-29,1.02E-25
ENSG00000125430,3327.724958,-1.699377644,0.155164783,-10.95208339,6.49E-28,6.48E-25
ENSG00000110944,788.457896,-2.67768801,0.247973474,-10.79828407,3.51E-27,3.33E-24
ENSG00000174600,686.5398425,2.177091687,0.201789269,10.7889369,3.88E-27,3.51E-24
ENSG00000087074,16541.43784,-1.899453959,0.178479539,-10.64241858,1.89E-26,1.63E-23
ENSG00000137869,279.6519871,-2.826146964,0.266062267,-10.62212614,2.35E-26,1.94E-23
ENSG00000107968,5362.365715,-1.816615751,0.171917246,-10.56680348,4.25E-26,3.36E-23
ENSG00000146592,400.0162408,2.34248106,0.22294078,10.50718967,8.00E-26,6.07E-23
ENSG00000115009,1363.72557,-3.044119466,0.290825473,-10.4671693,1.22E-25,8.92E-23
ENSG00000251230,1010.236569,-2.917576099,0.280740478,-10.39243117,2.68E-25,1.89E-22
ENSG00000137757,731.5863026,-2.156465983,0.211510947,-10.19552894,2.08E-24,1.41E-21
ENSG00000275385,569.1166302,-2.599425248,0.256128733,-10.14890138,3.35E-24,2.19E-21
ENSG00000112137,6258.997117,-1.21258459,0.121835744,-9.952617762,2.46E-23,1.55E-20
ENSG00000164181,237.5739337,-2.397725353,0.241314449,-9.936103552,2.90E-23,1.77E-20
ENSG00000088827,190.6919327,3.631021298,0.366974531,9.894477658,4.40E-23,2.61E-20
ENSG00000135218,469.166106,3.5090121,0.356152494,9.852555181,6.68E-23,3.84E-20
ENSG00000232810,2276.59931,-2.080434684,0.21214837,-9.806507978,1.06E-22,5.89E-20
ENSG00000249173,217.0851996,-2.027961139,0.209233857,-9.692318285,3.25E-22,1.76E-19
ENSG00000134460,1979.833429,-2.862901858,0.296140384,-9.667380798,4.15E-22,2.19E-19
ENSG00000119866,402.4863575,-1.547177426,0.161188123,-9.598582064,8.11E-22,4.16E-19
ENSG00000144802,11348.69081,-1.57700327,0.164684107,-9.575928693,1.01E-21,5.04E-19
ENSG00000165140,240.0957176,2.805193683,0.297984704,9.413884832,4.78E-21,2.33E-18
ENSG00000155659,43.60179026,3.57932858,0.389877315,9.180653601,4.28E-20,2.03E-17
ENSG00000074410,265.9917712,-2.669413134,0.292079848,-9.139326636,6.28E-20,2.91E-17
ENSG00000099985,5318.836183,-2.013223304,0.22116828,-9.102676482,8.81E-20,3.98E-17
ENSG00000166396,142.3794077,-3.159059605,0.348659637,-9.060583069,1.30E-19,5.73E-17
ENSG00000163739,16868.45733,-2.40983967,0.270228549,-8.9177834,4.76E-19,2.05E-16
ENSG00000126266,382.2718185,-2.098924214,0.235872636,-8.898549005,5.66E-19,2.39E-16
ENSG00000260196,358.6676434,-2.092265936,0.235692068,-8.877116466,6.86E-19,2.83E-16
ENSG00000144597,3200.518557,-1.142798468,0.129353565,-8.834688589,1.00E-18,4.05E-16
ENSG00000078401,364.9774707,-2.819937427,0.320019855,-8.811757715,1.23E-18,4.87E-16
ENSG00000146376,766.437211,1.832726458,0.208337129,8.796926746,1.41E-18,5.44E-16
ENSG00000170542,7790.320844,-1.389550603,0.158000121,-8.79461734,1.44E-18,5.45E-16
ENSG00000163082,2044.308091,-1.47960915,0.168452469,-8.783540866,1.58E-18,5.89E-16
ENSG00000125733,3842.817671,-2.049165385,0.233473094,-8.776880242,1.68E-18,6.13E-16
ENSG00000163661,317.6429123,-1.653620685,0.188895683,-8.754147568,2.06E-18,7.36E-16
ENSG00000124882,4762.819813,-1.965689284,0.225227721,-8.727563698,2.60E-18,8.98E-16
ENSG00000125810,6909.241063,-1.557858508,0.178488312,-8.728070129,2.59E-18,8.98E-16
ENSG00000136161,1009.629301,1.809272933,0.208132167,8.692903913,3.53E-18,1.20E-15
ENSG00000271856,839.1946016,-1.424290439,0.164156846,-8.676399899,4.08E-18,1.36E-15
ENSG00000105711,769.1214291,-1.749056372,0.201888395,-8.663481503,4.58E-18,1.50E-15
ENSG00000122547,434.9266244,2.322189862,0.268976044,8.633444937,5.95E-18,1.91E-15
ENSG00000181649,101.3764677,-2.200082327,0.258106004,-8.523948676,1.54E-17,4.88E-15
ENSG00000113302,373.2787544,-2.418654728,0.285128476,-8.482683869,2.20E-17,6.84E-15
ENSG00000188786,6788.677581,-1.337431987,0.158353409,-8.44586796,3.02E-17,9.24E-15
ENSG00000163563,1012.63581,2.803093232,0.332818087,8.422298362,3.69E-17,1.11E-14
ENSG00000123689,6819.979484,-1.29588539,0.154782361,-8.372306637,5.65E-17,1.68E-14
ENSG00000143479,217.4254917,-2.106392177,0.252138106,-8.354120723,6.59E-17,1.92E-14
ENSG00000163874,6853.764875,-1.573889668,0.188577004,-8.346137816,7.05E-17,2.03E-14
ENSG00000230438,1535.396167,-1.728377071,0.207236957,-8.340100598,7.42E-17,2.10E-14
ENSG00000102575,2181.802823,2.017445947,0.242308559,8.325937619,8.37E-17,2.33E-14
ENSG00000121316,207.8757026,1.898060073,0.228668297,8.30049508,1.04E-16,2.85E-14
ENSG00000165997,1955.18441,-1.535792161,0.185234892,-8.291052189,1.12E-16,3.04E-14
ENSG00000125731,868.8947117,-1.483583561,0.179377007,-8.270756595,1.33E-16,3.56E-14
ENSG00000134532,113.4683892,-1.927883413,0.234736678,-8.212961971,2.16E-16,5.69E-14
ENSG00000163235,696.7516677,-1.671676125,0.203667759,-8.207858394,2.25E-16,5.77E-14
ENSG00000180616,77.66858935,-2.365889461,0.288232827,-8.20825818,2.24E-16,5.77E-14
ENSG00000101347,4632.436177,1.156370714,0.141080374,8.196538465,2.47E-16,6.18E-14
ENSG00000156127,967.4112161,-1.806875282,0.220415654,-8.197581481,2.45E-16,6.18E-14
ENSG00000172590,843.9434117,-1.056479879,0.129577149,-8.153288497,3.54E-16,8.73E-14
ENSG00000223949,47.02914633,-2.805232592,0.344725828,-8.137575913,4.03E-16,9.81E-14
ENSG00000108700,149.3789013,2.800490207,0.346634135,8.079095299,6.52E-16,1.57E-13
ENSG00000099860,7751.840932,-1.587397405,0.198473089,-7.998048557,1.26E-15,3.00E-13
ENSG00000184557,13818.81876,-1.989447978,0.249508273,-7.97347501,1.54E-15,3.61E-13
ENSG00000174485,2753.115052,-1.197617581,0.150889746,-7.937037582,2.07E-15,4.79E-13
ENSG00000100219,4325.523651,-1.388655861,0.175094842,-7.930878182,2.18E-15,4.97E-13
ENSG00000140932,75.99245506,2.818913525,0.356517183,7.906809715,2.64E-15,5.96E-13
ENSG00000261618,65.89683055,-2.827595187,0.359619577,-7.862739863,3.76E-15,8.39E-13
ENSG00000134802,7802.664321,-1.148856966,0.146179732,-7.85920833,3.87E-15,8.53E-13
ENSG00000105707,316.7867403,-1.970474368,0.250792485,-7.856991272,3.93E-15,8.58E-13
ENSG00000272379,433.1668501,-1.151472285,0.147067909,-7.829527844,4.90E-15,1.06E-12
ENSG00000135914,88.70334647,-1.846107395,0.236110155,-7.81883945,5.33E-15,1.14E-12
ENSG00000138685,83.89275124,-2.54387013,0.326581611,-7.789385703,6.73E-15,1.42E-12
ENSG00000020181,319.0883339,-1.612361773,0.20728969,-7.778301815,7.35E-15,1.52E-12
ENSG00000184060,884.0418201,1.932810369,0.248465525,7.778988118,7.31E-15,1.52E-12
ENSG00000080371,5018.49777,-1.121839222,0.145090147,-7.732015223,1.06E-14,2.16E-12
ENSG00000105246,1926.028612,-2.310817392,0.299439647,-7.717139044,1.19E-14,2.40E-12
ENSG00000185022,4785.06045,-1.93377029,0.251965948,-7.674728698,1.66E-14,3.31E-12
