ENSEMBL_GENE,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000108342,3274.737904,-4.375688227,0.205233049,-21.32058291,7.31E-101,1.50E-96
ENSG00000085265,2187.273213,5.103368655,0.252515391,20.21012913,7.97E-91,8.17E-87
ENSG00000111344,610.1968876,2.697390935,0.152032069,17.74224974,1.98E-70,1.35E-66
ENSG00000168389,6162.810817,-1.912278363,0.125062318,-15.29060389,8.83E-53,4.53E-49
ENSG00000197046,941.2744536,-3.710024391,0.248329164,-14.93994637,1.81E-50,7.43E-47
ENSG00000181790,1153.932227,-1.574917119,0.112127246,-14.04580215,8.17E-45,2.79E-41
ENSG00000073756,32883.36513,-4.450364393,0.333074413,-13.36147187,1.02E-40,2.97E-37
ENSG00000146592,780.1129075,2.33132734,0.182323073,12.7867927,1.94E-37,4.98E-34
ENSG00000125538,206128.9297,-3.388496875,0.267600191,-12.66253534,9.54E-37,2.17E-33
ENSG00000136688,2535.177495,-4.011464327,0.318412938,-12.59830821,2.16E-36,4.42E-33
ENSG00000050730,4546.846955,-2.694575717,0.218402434,-12.33766342,5.68E-35,1.06E-31
ENSG00000249173,427.3247499,-2.211996428,0.18471223,-11.97536531,4.78E-33,8.17E-30
ENSG00000105509,393.2084698,-2.596193315,0.218276568,-11.89405413,1.27E-32,2.00E-29
ENSG00000124102,176460.8945,-2.106271198,0.177744818,-11.84997245,2.15E-32,3.15E-29
ENSG00000181649,205.7467469,-2.473654288,0.20923137,-11.82257846,2.98E-32,4.08E-29
ENSG00000173918,2153.886258,-3.011635795,0.255327497,-11.79518789,4.13E-32,5.30E-29
ENSG00000174600,1340.041928,2.187768852,0.185649906,11.784379,4.70E-32,5.67E-29
ENSG00000164236,4178.558754,-1.622480698,0.140744049,-11.52788136,9.55E-31,1.09E-27
ENSG00000188211,4217.809691,-2.289198565,0.201101189,-11.38331691,5.06E-30,5.46E-27
ENSG00000115008,21173.77321,-2.904824082,0.255403643,-11.37346377,5.67E-30,5.81E-27
ENSG00000137869,552.6450488,-2.938261095,0.260774556,-11.26743781,1.90E-29,1.86E-26
ENSG00000101187,2645.571153,-2.473485172,0.223752765,-11.05454575,2.08E-28,1.86E-25
ENSG00000169429,601170.9506,-2.263269643,0.20469471,-11.05680575,2.03E-28,1.86E-25
ENSG00000125430,6435.027239,-1.703771875,0.154913341,-10.99822561,3.90E-28,3.33E-25
ENSG00000107968,10502.82743,-1.845275806,0.170998396,-10.79118783,3.79E-27,3.11E-24
ENSG00000110944,1515.139992,-2.677190706,0.254350143,-10.52561116,6.58E-26,5.19E-23
ENSG00000115009,2694.366774,-3.127587448,0.299150851,-10.45488401,1.39E-25,1.02E-22
ENSG00000137757,1418.05236,-2.205316897,0.210933909,-10.45501365,1.39E-25,1.02E-22
ENSG00000112137,12212.07976,-1.234228603,0.118254874,-10.437021,1.68E-25,1.19E-22
ENSG00000251230,1974.078056,-2.948526021,0.283647428,-10.3950388,2.61E-25,1.78E-22
ENSG00000087074,32286.66677,-1.888442591,0.182029611,-10.37437029,3.24E-25,2.14E-22
ENSG00000088827,372.6510386,3.833104045,0.369914001,10.36214913,3.69E-25,2.36E-22
ENSG00000260196,699.4901352,-2.207093408,0.2153237,-10.25011836,1.18E-24,7.34E-22
ENSG00000275385,1125.931175,-2.665912119,0.261536954,-10.19325214,2.13E-24,1.28E-21
ENSG00000119866,773.3363043,-1.577098784,0.158862139,-9.927467867,3.16E-23,1.85E-20
ENSG00000165140,464.5541726,2.929495612,0.297260669,9.854972132,6.52E-23,3.71E-20
ENSG00000084734,125.0195461,-3.072637601,0.313412096,-9.803825824,1.08E-22,5.65E-20
ENSG00000135218,921.1925941,3.560384451,0.363226894,9.802094819,1.10E-22,5.65E-20
ENSG00000146376,1486.875637,1.905160293,0.194356993,9.802375825,1.10E-22,5.65E-20
ENSG00000180616,154.2710232,-2.391794668,0.243820452,-9.809655624,1.02E-22,5.65E-20
ENSG00000144802,22252.43412,-1.584105356,0.163469895,-9.690502064,3.31E-22,1.65E-19
ENSG00000223949,94.62894373,-3.0412885,0.316278278,-9.615862719,6.85E-22,3.35E-19
ENSG00000271856,1659.693224,-1.418047778,0.147708246,-9.600329116,7.97E-22,3.80E-19
ENSG00000232810,4499.231819,-2.068841076,0.21850496,-9.468165288,2.85E-21,1.33E-18
ENSG00000134460,3876.341606,-2.839714845,0.300911108,-9.437055547,3.83E-21,1.75E-18
ENSG00000153976,192.9136489,-1.569936858,0.166705735,-9.417413584,4.62E-21,2.06E-18
ENSG00000163082,4006.113749,-1.491944182,0.158485861,-9.413736799,4.79E-21,2.09E-18
ENSG00000074410,511.5369112,-2.614776787,0.281400897,-9.291998755,1.51E-20,6.47E-18
ENSG00000164181,456.4903782,-2.264873087,0.243973079,-9.283291008,1.64E-20,6.88E-18
ENSG00000163661,620.6075268,-1.632860994,0.177259987,-9.211672774,3.21E-20,1.32E-17
ENSG00000020181,639.5867648,-1.682406738,0.182935184,-9.196736799,3.69E-20,1.48E-17
ENSG00000143479,417.8962467,-2.155954141,0.236487253,-9.116576517,7.75E-20,3.06E-17
ENSG00000272379,838.2162434,-1.153465212,0.127871713,-9.020487707,1.87E-19,7.24E-17
ENSG00000136161,1979.073549,1.81610614,0.202229813,8.980407534,2.70E-19,1.02E-16
ENSG00000099985,10440.56991,-2.008863203,0.225485581,-8.90905394,5.15E-19,1.92E-16
ENSG00000172590,1651.641018,-1.017330623,0.114925078,-8.852120389,8.59E-19,3.14E-16
ENSG00000125733,7504.885658,-2.056559305,0.233350209,-8.813188191,1.22E-18,4.37E-16
ENSG00000124882,9250.035234,-1.965075795,0.223582892,-8.789025748,1.51E-18,5.33E-16
ENSG00000170542,15240.54692,-1.393084016,0.15897185,-8.763086139,1.90E-18,6.60E-16
ENSG00000144597,6234.167894,-1.152235848,0.131568183,-8.757708889,1.99E-18,6.81E-16
ENSG00000145979,973.2789449,-1.273744288,0.145972565,-8.725915638,2.64E-18,8.87E-16
ENSG00000135914,176.205977,-1.904864304,0.219420152,-8.681355318,3.91E-18,1.29E-15
ENSG00000165997,3829.980865,-1.505393674,0.173577698,-8.672736694,4.22E-18,1.35E-15
ENSG00000261618,130.7522402,-3.069940605,0.353937439,-8.673681459,4.18E-18,1.35E-15
ENSG00000038945,116.46816,3.091866099,0.357431812,8.6502264,5.14E-18,1.60E-15
ENSG00000105711,1503.729622,-1.713619148,0.198079397,-8.651173082,5.10E-18,1.60E-15
ENSG00000163739,32906.62391,-2.400961248,0.277817484,-8.642225156,5.51E-18,1.69E-15
ENSG00000125810,13500.47078,-1.561631847,0.181961012,-8.58223327,9.30E-18,2.81E-15
ENSG00000168079,48.37469156,-3.423505894,0.39941812,-8.571233307,1.02E-17,3.04E-15
ENSG00000144677,242.8375476,-1.548245735,0.181021043,-8.552849494,1.20E-17,3.52E-15
ENSG00000122547,834.7126973,2.333558386,0.273950299,8.518181577,1.62E-17,4.68E-15
ENSG00000116711,367.0907183,-2.22791589,0.261899885,-8.506746335,1.79E-17,5.09E-15
ENSG00000232803,94.1355531,-2.361255795,0.277772236,-8.500690465,1.88E-17,5.29E-15
ENSG00000166396,270.3253843,-3.027384738,0.356309194,-8.496510294,1.95E-17,5.41E-15
ENSG00000126266,750.3175714,-2.022431137,0.238394016,-8.48356504,2.18E-17,5.97E-15
ENSG00000121316,409.4219062,1.838376143,0.218389629,8.417872928,3.83E-17,1.03E-14
ENSG00000101347,9090.588427,1.154212064,0.137298457,8.406591664,4.22E-17,1.12E-14
ENSG00000102575,4249.117252,2.039125216,0.242863523,8.396177375,4.61E-17,1.21E-14
ENSG00000251196,291.839294,-1.616915321,0.193869758,-8.340214269,7.42E-17,1.92E-14
ENSG00000156127,1900.878275,-1.836928242,0.220499099,-8.330774376,8.03E-17,2.06E-14
ENSG00000163563,1984.825854,2.838396703,0.342793364,8.280197345,1.23E-16,3.11E-14
