ENSEMBL_genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000108342,4684.618468,-4.437597605,0.200673291,-22.11354373,2.34E-108,5.15E-104
ENSG00000111344,862.0886222,2.728924982,0.130572253,20.89973118,5.38E-97,5.93E-93
ENSG00000085265,3110.379455,5.129229127,0.24810634,20.67351092,6.00E-95,4.40E-91
ENSG00000168389,8746.19536,-1.920170569,0.124653134,-15.40410989,1.54E-53,8.45E-50
ENSG00000181790,1643.357177,-1.556977522,0.104267755,-14.93249299,2.03E-50,8.92E-47
ENSG00000197046,1341.182737,-3.648211678,0.251696477,-14.49448846,1.31E-47,4.82E-44
ENSG00000136688,3609.486448,-4.108120752,0.315353709,-13.02702531,8.59E-39,2.70E-35
ENSG00000073756,46787.84525,-4.421580517,0.339975702,-13.00557801,1.14E-38,3.13E-35
ENSG00000105509,561.7200232,-2.58689835,0.206065987,-12.55373768,3.79E-36,9.27E-33
ENSG00000125538,293538.6764,-3.378067265,0.273427396,-12.35453108,4.60E-35,1.01E-31
ENSG00000249173,605.3225403,-2.246556947,0.184072755,-12.20472277,2.93E-34,5.87E-31
ENSG00000146592,1127.42273,2.254483154,0.184897277,12.19316579,3.38E-34,6.20E-31
ENSG00000050730,6459.048218,-2.683888992,0.220921347,-12.14861772,5.83E-34,9.88E-31
ENSG00000174600,1913.01154,2.202798138,0.182795197,12.05063469,1.92E-33,3.03E-30
ENSG00000164236,5987.933485,-1.647579097,0.137867369,-11.95046447,6.46E-33,9.47E-30
ENSG00000124102,250995.7758,-2.109506591,0.177418411,-11.8900095,1.33E-32,1.83E-29
ENSG00000137869,789.3696967,-3.022163155,0.256614657,-11.77704807,5.13E-32,6.64E-29
ENSG00000181649,296.8488221,-2.414978379,0.207693551,-11.62760406,2.98E-31,3.65E-28
ENSG00000173918,3054.024756,-3.008030422,0.262879615,-11.44261574,2.56E-30,2.97E-27
ENSG00000188211,5991.396365,-2.279961652,0.203494727,-11.20403309,3.90E-29,4.29E-26
ENSG00000112137,17394.29094,-1.236064272,0.110770337,-11.15880214,6.49E-29,6.80E-26
ENSG00000115008,30137.26679,-2.897880459,0.259996059,-11.145863,7.50E-29,7.18E-26
ENSG00000125430,9217.820744,-1.708363419,0.153258098,-11.14697,7.41E-29,7.18E-26
ENSG00000101187,3763.328875,-2.470455523,0.222904318,-11.08303127,1.52E-28,1.39E-25
ENSG00000169429,855729.8968,-2.264035745,0.207088198,-10.93271258,8.04E-28,7.08E-25
