ENSEMBL_Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000108342,5122.993837,-4.437849174,0.201110046,-22.06677019,6.59E-108,1.43E-103
ENSG00000111344,943.7798988,2.720722795,0.129413159,21.02354057,3.99E-98,4.34E-94
ENSG00000085265,3404.113867,5.128683843,0.247160357,20.7504306,1.21E-95,8.80E-92
ENSG00000168389,9571.050814,-1.921033773,0.123925388,-15.50153525,3.39E-54,1.84E-50
ENSG00000181790,1799.506049,-1.559072373,0.10134179,-15.38429871,2.09E-53,9.07E-50
ENSG00000197046,1463.947697,-3.643356843,0.253213275,-14.38849069,6.11E-47,2.21E-43
ENSG00000136688,3947.678715,-4.100606168,0.317852326,-12.90097895,4.44E-38,1.38E-34
ENSG00000073756,51193.39722,-4.412101624,0.342579561,-12.8790568,5.91E-38,1.60E-34
ENSG00000105509,615.5413126,-2.591820513,0.205159217,-12.63321506,1.39E-36,3.35E-33
ENSG00000125538,321009.0719,-3.373870251,0.275540706,-12.24454383,1.80E-34,3.91E-31
ENSG00000146592,1235.920281,2.241767621,0.183485043,12.21771315,2.50E-34,4.53E-31
ENSG00000249173,669.5554028,-2.264192197,0.185284843,-12.22006161,2.43E-34,4.53E-31
ENSG00000174600,2092.055032,2.209819589,0.181357057,12.18491096,3.74E-34,6.26E-31
ENSG00000164236,6537.814822,-1.644830258,0.136243619,-12.07271404,1.47E-33,2.29E-30
ENSG00000050730,7061.028138,-2.68142486,0.22232686,-12.06073286,1.70E-33,2.47E-30
ENSG00000124102,274593.2559,-2.109558324,0.177707335,-11.87096936,1.68E-32,2.28E-29
ENSG00000137869,863.5846009,-3.022803495,0.257605214,-11.73424809,8.51E-32,1.09E-28
ENSG00000181649,326.3788453,-2.422660707,0.209626887,-11.55701322,6.80E-31,8.22E-28
ENSG00000173918,3332.496565,-3.005361881,0.263571213,-11.40246631,4.06E-30,4.65E-27
ENSG00000112137,19002.52559,-1.233142386,0.109877576,-11.22287576,3.15E-29,3.42E-26
ENSG00000125430,10086.73704,-1.70887813,0.153142045,-11.1587783,6.49E-29,6.72E-26
ENSG00000188211,6534.679291,-2.274688494,0.204287651,-11.13473323,8.50E-29,8.40E-26
ENSG00000115008,32973.63831,-2.8959461,0.2617198,-11.06506309,1.85E-28,1.75E-25
ENSG00000169429,936361.5914,-2.266187971,0.206395644,-10.97982459,4.78E-28,4.33E-25
ENSG00000101187,4103.177122,-2.461009014,0.225908841,-10.89381455,1.23E-27,1.07E-24
ENSG00000223949,143.8204465,-3.255444396,0.301966869,-10.78079992,4.24E-27,3.55E-24
ENSG00000119866,1216.937315,-1.581176552,0.148079234,-10.67790879,1.29E-26,1.00E-23
ENSG00000153976,302.6302371,-1.585443822,0.148438028,-10.68084667,1.25E-26,1.00E-23
ENSG00000180616,232.7934258,-2.373527733,0.22260956,-10.6622902,1.53E-26,1.15E-23
ENSG00000137757,2217.714517,-2.258913083,0.213129258,-10.59879391,3.02E-26,2.12E-23
ENSG00000163661,964.2235838,-1.705153923,0.160856733,-10.60045102,2.97E-26,2.12E-23
ENSG00000107968,16309.9615,-1.851361551,0.175221006,-10.56586531,4.29E-26,2.91E-23
ENSG00000275385,1758.514153,-2.708383202,0.260458872,-10.39850621,2.52E-25,1.66E-22
ENSG00000272379,1313.320398,-1.141343745,0.109862522,-10.3888362,2.79E-25,1.78E-22
ENSG00000087074,50265.81424,-1.890243527,0.183212412,-10.31722419,5.89E-25,3.66E-22
ENSG00000115009,4231.577315,-3.117485023,0.302829362,-10.29452694,7.46E-25,4.50E-22
ENSG00000088827,566.6954518,3.880606015,0.37856238,10.25090243,1.17E-24,6.89E-22
ENSG00000110944,2345.445265,-2.679789862,0.262464542,-10.21010244,1.79E-24,1.02E-21
ENSG00000260196,1085.396278,-2.208511959,0.216428351,-10.20435607,1.90E-24,1.06E-21
ENSG00000251230,3078.624929,-2.961084615,0.290323345,-10.19926461,2.00E-24,1.09E-21
ENSG00000146376,2324.73199,1.924114279,0.190360252,10.10775233,5.10E-24,2.71E-21
ENSG00000144677,382.1251514,-1.5769193,0.157712408,-9.998701534,1.54E-23,7.99E-21
ENSG00000144802,34723.4657,-1.593942158,0.161966183,-9.841203421,7.48E-23,3.78E-20
ENSG00000163082,6217.937353,-1.50888951,0.153540898,-9.827280726,8.59E-23,4.24E-20
ENSG00000271856,2587.995602,-1.419928696,0.144647969,-9.816444034,9.57E-23,4.62E-20
ENSG00000135914,266.4525287,-1.924853547,0.196388443,-9.801256727,1.11E-22,5.25E-20
ENSG00000261618,209.6760515,-3.366439581,0.34408612,-9.783712234,1.32E-22,6.12E-20
ENSG00000165140,715.1100699,2.904912342,0.298681288,9.725792867,2.34E-22,1.06E-19
